"EN","EN-FULL","FR","FR-FULL"
"BTA","Blanket Travel Authority","AGV","Autorisation générale de voyage"
"CBSA","Canada Border Services Agency","ASFC","Agence des Services Frontaliers du Canada"
"CCPSA","Canada Consumer Product Safety Act ","LCSPC","Loi canadienne sur la sécurité des produits de consommation"
"CFIA","Canadian Food Inspection Agency","ACIA","Agence Canadienne d'Inspection des Aliments"
"CFOB","Chief Financial Officer Branch ","DGDPF","Direction Générale Direction générale du dirigeant Principal des Finances"
"CIHR","Canadian Institutes of Health Research","IRSC","Instituts de recherche en santé du Canada "
"CIO","Chief Information Officer","DPI","Dirigeant Principal de l'Information"
"CNPHI","Canadian Network for Public Health Intelligence","RCRSP","Réseau Canadien de Renseignements sur la Sante Publique"
"CPAB","Communications and Public Affairs Branch ","DGCAP","Direction générale des communications et des affaires publiques "
"CSB","Corporate Services Branch","DGSG","Direction générale des Services de Gestion"
"CA","Canadian Army","AC","Armée canadienne"
"CAF","Central Accommodation Fund","FCMA","Fonds centralisé pour les mesures d'adaptation"
"CART","Canada Agricultural Review Tribunal","CRAC","Commission de révision agricole du Canada"
"CBAS","Critical Business Applications and Systems","ASOE","Applications et systèmes opérationnels essentiels "
"CCDR","Canada Communicable Disease Report","RMTC","Relevé des maladies transmissibles au Canada"
"CCPERB","Canadian Cultural Property Export Review Board","CCEEBC","Commission canadienne d’examen des exportations de biens culturels"
"CEMR","Compliance and Enforcement Modernization Roadmap","FRMCAL","Feuille de route de la modernisation de la conformité et de l’application de la loi"
"CFEP","Canadian Field Epidemiology Program","PCÉT","Programme canadien d'épidémiologie de terrain"
"CHRT","Canadian Human Rights Tribunal","TCDP","Tribunal Canadien des droits de la personne"
"CIRB","Canada Industrial Relations Board","CCRI","Conseil canadien des relations industrielles"
"CITT","Canadian International Trade Tribunal","TCCE","Tribunal canadien du commerce extérieur"
"CLRB","Cannabis Legalization & Regulation Branch","DGLRC","Direction générale de la légalisation et de la réglementation du cannabis"
"CMHC","Canada Mortgage and Housing Corporation","SCHL","Société Canadienne d'hypothèques et de logement"
"CNL","Canadian Nuclear Laboratories","LNC","Laboratoires Nucléaires Canadiens"
"CNSC","Canadian Nuclear Safety Commission","CCSN","Commission canadienne de sûreté nucléaire"
"CP","Canada Post","PC","Postes Canada"
"CRA","Canada Revenue Agency","ARC","Agence du revenu du Canada"
"CRTC","Canadian Radio-Television and Telecommunications Commission","CRTC","Conseil de la radiodiffusion et des télécommunications canadiennes"
"CSA","Canadian Space Agency","ASC","Agence spatiale canadienne"
"CT","Competition Tribunal","TC","Tribunal de la concurrence"
"CTA","Canadian Transportation Agency","OTC","Office des transports du Canada"
"DGO","Director General Office","BDG","Bureau du Directeur Général"
"DMO","Deputy Minister’s Office ","BSM","Bureau du Sous-ministre"
"DND","Department of National Defense","MDN","Ministère de la Défense Nationale"
"DAEC","Departmental Audit and Evaluation Committee","FMCMA","Fonds ministériel centralisé pour les mesures d'adaptation"
"DM","Deputy Minister","SM","sous-ministre"
"DPI","Developing Professionalism in Informatics","DPI","Développement du professionnalisme en informatique"
"DRDC","Defence Research and Development Canada","RDDC","Recherche et développement pour la défense Canada"
"DTA","Duty To Accommodate","OPMA","l’obligation de prendre des mesures d’adaptation"
"EA","Enterprise Architecture","AE","Architecture d'Entreprise"
"ECMS","Enterprise Content Management Solution","SGCE","Solution de Gestion du Contenu de l'Entreprise"
"EC","Elections Canada","EC","Élections Canada"
"EC","Executive Committee","CE","Comité éxecutif"
"EE","Employment Equity","EE","équité d’emploi"
"EEA","Employment Equity Act","LEE","Loi sur l’équité en matière d’emploi"
"EEDB","Employment Equity Data Bank","BDEE","Banque de données sur l’équité en emploi"
"EEPMP","Employment Equity Positive Measures Program","PMPEE","Programme des mesures positives d’équité en emploi"
"EIDM","Evidence-Informed Decision Making","PDFDP","Pratiques et décisions fondées sur des données probantes "
"EMR","Equipment Master Record","FÉ","Fiche d’équipement"
"ESA","Emergency Salary Advance","ASU","Avance de salaire d'urgence"
"ESDC","Employment and Social Development Canada","EDSC","Emploi et Développement social Canada"
"FNIHB","First Nations and Inuit Health BranchExecutive Committee","DGSPNI","Direction générale de la santé des Premières nations et des Inuits"
"FINTRAC","Financial Transactions and Reports Analysis Centre of Canada","CANAFE","Centre d’analyse des opérations et déclarations financières du Canada"
"FPS","Federal Public Service","FPF","la fonction publique fédérale"
"FPS-JAN","Federal Public Service Job Accommodation Network","RAFPF","Réseau d’aménagements de la fonction publique fédérale"
"GC-CIRT","Government of Canada - Computer Incident Response Team","GC-EIII","Gouvernement du Canada - Equipe d'Intervention en cas d'Incidents Informatiques"
"GPHIN","Global Public Health Intelligence Network","RMISP","Réseau Mondial d'Information en Santé Publique"
"GCWCC","Government of Canada Workplace Charitable Campaign","CCMTGC","Campagne de charité en milieu de travail du gouvernement du Canada"
"GOCO","Government Owned, Contractor Operated","OGEE","organismes gouvernementaux exploités par un entrepreneur"
"HECSB","Healthy Environments and Consumer Safety Branch","DGSESC","Direction générale de la santé environnementale et de la sécurité des consommateurs"
"HICPS","Health Information and Claims Processing Services","SISTDP","Systeme d'Information sur la Santé et le Traitement des Demandes de Paiements"
"HPCDPB","Health Promotion and Chronic Disease Prevention Branch","DGPSPMC","Direction générale de la promotion de la santé et de la prévention des maladies chroniques "
"HPFB","Health Products and Food Branch","DGPSA","Direction générale des produits de santé et des aliments"
"HRSD","Human Resources Services Directorate","DSRH","Direction des Services de Ressources Humaines"
"HSIB","Health Security and Infrastructure Branch ","DGISS","Direction générale de l'infrastructure de sûreté sanitaire "
"HOIR","Hazardous Occurrence Investigation Report","RESCR","Rapport d’enquête sur les situations comportant des risques"
"HoIT","Heads of Information Technology","CTI","chefs de la technologie de l’information"
"HR","Human Resources","RH","ressources humaines"
"IDPCB","Infectious Diseases and Prevention Control Branch ","DGPCMI","Direction générale de la prévention et du contrôle des maladies infectieuses "
"IKMD","Information and Knowledge Management","BGIS","Bureau de Gestion de l'Information et du Savoir"
"IM","Information Management","GI","Gestion de l'Information"
"IMSD","Information Management Service Directorate","DSGI","Direction des Services de Gestion de l'Information"
"ICCS","Institute for Citizen-Centred Service","ISAC","Institut des services axés sur les citoyens"
"IDF-EE","Inter-Departmental Forum on Employment Equity","FIEE","forum interministériel sur l’équité en emploi"
"IDPD","Internaltional Day of Persons with Disabilities","JIPH","la Journée internationale des personnes handicapées"
"IR","Inspection Review","EI","Examen des inspections"
"JC","Justice Canada","JC","Justice Canada"
"LESA","Lauding Employees' Successes and Accomplishments","LESA","Les Employés de Santé en Action"
"MAF","Management Accountability Framework","CRG","Cadre de Responsabilisation de Gestion"
"MIAW","Mental Illness Awareness Week","SSMM","Semaine de sensibilisation aux maladies mentales"
"MYRBAP","Multi-Year Risk-Based Audit Plan","PPAAR","Plan pluriannuel d'audit axé sur les risques"
"NBCMP","National Business Continuity Management Program","PNGCO","Programme national de gestion de la continuité des opérations"
"NCAFE","National Council of Aboriginal Federal Employees","CNEFA","Conseil national des employés fédéraux autochtones"
"NCC","National Capital Commission","CCN","Commission de la capitale nationale"
"NCCMT","National Collaborating Centre for Methods and Tools","CCNMO","Centre de collaboration nationale des méthodes et outils"
"NCFED","National Council of Federal Employees with Disabilities","CNEHF","Conseil national des employés handicapés fédéraux"
"NCVM","National Council of Visible Minorities","CNMV","Conseil national des minorités visibles"
"ND","National Defense","DN","Défense nationale"
"NEB","National Energy Board","ONE","Office national de l’énergie"
"NFB","National Film Board","ONF","l’Office national du film"
"NIHB","Non-Insured Health Benefits","SSNA","Programme des services de santé non assurés"
"NPAC","Northern Pipeline Agency Canada","APLN","Administration du pipe-line du Nord"
"NRC","National Research Council","CNR","Conseil national de recherches"
"NRCan","Natural Resources Canada","RNCan","Ressources naturelles Canada"
"NRCC","National Research Council Canada","CNRC","Conseil national de recherches Canada"
"NSD","National Service Desk","BSN","Bureau de services national"
"NSERC","Natural Sciences and Engineering Research Canada","CRSNG","Conseil de recherches en sciences naturelles et en génie du Canada"
"NWRI","National Water Research Institute","INRE","Institut national de recherche sur les eaux"
"OAE","Office of Audit and Evaluation ","BAE","Bureau de l'audit et de l’évaluation"
"OCFO","Office of the Chief Financial Officer","BDPF","Bureau du dirigeant principal des finances"
"OCSO","Office of the Chief Science Officer","CSP","Bureau du conseiller scientifique principal "
"OIA","Office of International Affairs ","BAI","Bureau des affaires internationales "
"OMC","Office of Medical Cannabis","BCM","Bureau du cannabis médical"
"OSPP","Office of Strategic Policy and Planning ","BPPS","Bureau des politiques et de la planification stratégiques "
"OA","Options Analysis","BVG","Bureau du vérificateur général du Canada"
"OHS","Occupational Health & Safety","SST","Santé et sécurité au travail"
"OHSTC","Occupational Health and Safety Tribunal Canada","TSSTC","Tribunal de santé et sécurité au travail Canada"
"OIRO","Ombudsman, Integrity and Resolution Office","BOIR","Bureau de l’ombudsman, de l’intégrité et de la résolution"
"OLS","Office of Laboratory Safety","BSL","Bureau de la sécurité des laboratoires"
"ORI","Office of Regulatory Initiatives","BIR","Bureau des initiatives réglementaires"
"OSGG","Office of the Secretary to the Governor General","BSGG","Bureau du secrétaire du gouverneur général"
"PHAC","Public Health Agency of Canada ","ASPC","Agence de la santé publique du Canada"
"PIRT","Project Implementation and Reporting Tool","OMOPER","Outil de Mise en Oeuvre des Projets et d’Établissement de Rapports"
"PMPRB","Patented Medicine Prices Review Board","CEPMB","Conseil d’examen du prix des médicaments brevetés"
"PA","Performance Agreement","ER","entente de rendement"
"PC","Parks Canada","PC","Parcs Canada"
"PCMC","Partnership Crisis Management Committee","CGCP","Comité de gestion des crises du partenariat"
"PDW","Professional Development Week","SPP","Semaine de perfectionnement professionnel"
"PIPSC","The Professional Institute of the Public Service of Canada","IPFPC","L'Institut professionnel de la fonction publique du Canada"
"PM","Performance Management","GR","gestion du rendement"
"PMPRB","Patented Medicines Prices Review Board Canada","CEPMD","Conseil d’examen du prix des médicaments brevetés"
"PMRA","Pest Management Regulatory Agency","ARLA","Agence de règlementation de la lutte antiparasitaire"
"PS","Public Service","FP","fonction publique "
"PSDPT","Public Servants Disclosure Protection Tribunal","TPFD","Tribunal de la protection des fonctionnaires divulgateurs"
"PSES","Public Service Employee Survey","SAFF","Sondage auprès des fonctionnaires fédéraux"
"PSIC","Public Sector Integrity Commissioner of Canada","ISPC","Commissariat à l'intégrité du secteur public du Canada"
"PSLREB","Public Service Labour Relations and Employment Board","CRTEFP","Commission des relations de travail et de l'emploi dans la fonction publique"
"PSMAC","Public Service Management Advisory Committee","CCGFP","Comité consultatif du gestion de la fonction publique"
"PSPC","Public Services and Procurement Canada","SPAC","Services publics et Approvisionnement Canada"
"PWDOP","Persons with Disabilities Opportunity Program","POEPH","Programme d’occasions d’emplois pour les personnes handicapées"
"RAPB","Regions and Programs Bureau","BRP","Bureau des régions et des programmes"
"RCMP","Royal Canadian Mounted Police","GRC","Gendarmerie Royale du Canada"
"RDIMS","Records Documents and Information Management System","SGDDI","Systeme de Gestion des Dossiers, des Documents et de l'Information"
"RORB","Regulatory Operations and Regions Branch","DGORR","Direction générale des opérations réglementaires et des régions "
"RPSD","Real Property and Security Directorate ","DBIS","Direction des biens immobiliers et de la sécurité"
"RBA","Resposible Building Authority","ARI","l'Autorité responsable de l'immeuble"
"RG","Receiver General for Canada","RG","Receveur général du Canada"
"SC","Solutions Center","CS","Centre des Solutions"
"SD","I.T. Service Delivery","PSTI","Prestation des Services de la TI"
"SM","Service Management","GS","Gestion des Services"
"SPB","Strategic Policy Branch","DGPS","Direction générale de la politique stratégique"
"SPPIAB","Strategic Policy, Planning and International Affairs Branch ","DGPSPAI","Direction générale de la politique stratégique, de la planification et des affaires internationales "
"SSC","Shared Services Canada","SPC","Services Partagés Canada"
"SSOO","Shared Services and Operations Oversight","SPSO","Services Partagés et Support Opérationnel"
"STAR","Strategic Technology and Application Renewal","RSTA","Renouvellement Stratégique de la Technologie et des Applications"
"SAW","Security Awareness Week","SSS","Semaine de la sensibilisation à la sécurité"
"SC","Sport Canada","SC","Sport Canada"
"SCC","Standards Council of Canada","CCN","Conseil canadien des normes"
"SCC","Supreme Court of Canada","CSC","Cour suprême du Canada"
"SCT","Specific Claims Tribunal Canada","TRP","Tribunal des revendications particulières Canada"
"SEA","Strategic Environmental Assessment","ÉES","Évaluation environnementale stratégique"
"SHSD","Special Health Services Directorate","DSSS","Direction des services de santé spécialisés"
"SSHRC","Social Sciences and Humanities Research Council","CRSH","Conseil de recherches en sciences humaines"
"SST","Social Security Tribunal of Canada","TSS","Tribunal de la sécurité sociale du Canada"
"SWALT","Single Window Access to Language Training","AGUFL","Accès à guichet unique pour la formation linguisique"
"SWC","Status of Women Canada","CFC","Condition féminine Canada"
"TBS","Treasury Board of Canada Secretariat","SCT","Secrétariat du Conseil du Trésor du Canada"
"TATC","Transportation Appeal Tribunal of Canada","TATC","Tribunal d'appel des transports du Canada"
"TC","Transport Canada","TC","Transports Canada"
"TDG","Transportation of Dangerous Goods","TMD","Transport de marchandises dangereuses"
"TFIPS","Task Force on an Inclusive Public Service","GTFPI","Groupe de travail sur une fonction publique inclusive"
"TFOL","Task Force on Official Languages","GTLO","Groupe de travail sur les langues officielles"
"THS","Temporary Help Services","SAT","Services d’aide temporaires"
"TIP","Transformation Initiative Portal","PIT","Portail de l’initiative de transformation"
"TMWY","Take Me With You","EMAV","Emmenez-moi avec vous"
"VMN","Visible Minorities Network","RMV","Réseau des minorités visibles"
"WCB","Workers' Compensation Board","CAT","Commission des accidents du travail"
"YPN","Young Professionals' Network","RJP","Réseau des jeunes professionnels"
"ARB","Architecture Review Board","CEA","Conseil d'examen de l'architecture"
